Table,Code or Value,Value Description
Education_level_Adults_20,2,9-11th Grade (Includes 12th grade with no diploma)
Education_level_Adults_20,3,High School Grad/GED or Equivalent
Education_level_Adults_20,4,Some College or AA degree
Education_level_Adults_20,5,College Graduate or above
Education_level_Adults_20,7,Refused
Education_level_Adults_20,9,Don't Know
Marital_status,1,Married
Marital_status,2,Widowed
Marital_status,3,Divorced
Marital_status,4,Separated
Marital_status,5,Never married
Marital_status,6,Living with partner
Marital_status,77,Refused
Marital_status,99,Don't know
Annual_household_income,1,"$ 0 to $ 4,999"
Annual_household_income,2,"$ 5,000 to $ 9,999"
Annual_household_income,3,"$10,000 to $14,999"
Annual_household_income,4,"$15,000 to $19,999"
Annual_household_income,5,"$20,000 to $24,999"
Annual_household_income,6,"$25,000 to $34,999"
Annual_household_income,7,"$35,000 to $44,999"
Annual_household_income,8,"$45,000 to $54,999"
Annual_household_income,9,"$55,000 to $64,999"
Annual_household_income,10,"$65,000 to $74,999"
Annual_household_income,12,"Over $20,000"
Annual_household_income,13,"Under $20,000"
Annual_household_income,14,"$75,000 to $99,999"
Annual_household_income,15,"$100,000 and Over"
Annual_household_income,77,Refused
Annual_household_income,99,Don't know
Annual_family_income,1,"$ 0 to $ 4,999"
Annual_family_income,2,"$ 5,000 to $ 9,999"
Annual_family_income,3,"$10,000 to $14,999"
Annual_family_income,4,"$15,000 to $19,999"
Annual_family_income,5,"$20,000 to $24,999"
Annual_family_income,6,"$25,000 to $34,999"
Annual_family_income,7,"$35,000 to $44,999"
Annual_family_income,8,"$45,000 to $54,999"
Annual_family_income,9,"$55,000 to $64,999"
Annual_family_income,10,"$65,000 to $74,999"
Annual_family_income,12,"Over $20,000"
Annual_family_income,13,"Under $20,000"
Annual_family_income,14,"$75,000 to $99,999"
Annual_family_income,15,"$100,000 and Over"
Annual_family_income,77,Refused
Annual_family_income,99,Don't know
HH_ref_person_gender,1,Male
HH_ref_person_gender,2,Female
HH_ref_person_education_level,1,Less Than 9th Grade
HH_ref_person_education_level,2,9-11th Grade (Includes 12th grade with no diploma)
HH_ref_person_education_level,3,High School Grad/GED or equivalent
HH_ref_person_education_level,4,Some College or AA degree
HH_ref_person_education_level,5,College Graduate or above
HH_ref_person_education_level,7,Refused
HH_ref_person_education_level,9,Don't know
HH_ref_person_education_level,1,Less than high school degree
HH_ref_person_education_level,2,High school grad/GED or some college/AA degree
HH_ref_person_education_level,3,College graduate or above
HH_ref_person_education_level,7,Refused
HH_ref_person_education_level,9,Don't Know
HH_ref_person_marital_status,1,Married
HH_ref_person_marital_status,2,Widowed
HH_ref_person_marital_status,3,Divorced
HH_ref_person_marital_status,4,Separated
HH_ref_person_marital_status,5,Never married
HH_ref_person_marital_status,6,Living with partner
HH_ref_person_marital_status,77,Refused
HH_ref_person_marital_status,99,Don't know
HH_ref_person_marital_status,1,Married/Living with partner
HH_ref_person_marital_status,2,Widowed/Divorced/Separated
HH_ref_person_marital_status,3,Never Married
HH_ref_person_marital_status,77,Refused
HH_ref_person_marital_status,99,Don't Know
HH_ref_person_spouse_education_level,1,Less Than 9th Grade
HH_ref_person_spouse_education_level,2,9-11th Grade (Includes 12th grade with no diploma)
HH_ref_person_spouse_education_level,3,High School Grad/GED or equivalent
HH_ref_person_spouse_education_level,4,Some College or AA degree
HH_ref_person_spouse_education_level,5,College Graduate or above
HH_ref_person_spouse_education_level,7,Refused
HH_ref_person_spouse_education_level,9,Don't know
HH_ref_person_spouse_education_level,1,Less than high school degree
HH_ref_person_spouse_education_level,2,High school grad/GED or some college/AA degree
HH_ref_person_spouse_education_level,3,College graduate or above
HH_ref_person_spouse_education_level,7,Refused
HH_ref_person_spouse_education_level,9,Don't Know
Age_in_years_at_screening_bins,1,<5 years
Age_in_years_at_screening_bins,2,5-10 years
Age_in_years_at_screening_bins,3,10-15 years
Age_in_years_at_screening_bins,4,15-20 years
Age_in_years_at_screening_bins,5,20-25 years
Age_in_years_at_screening_bins,6,25-30 years
Age_in_years_at_screening_bins,7,30-35 years
Age_in_years_at_screening_bins,8,35-40 years
Age_in_years_at_screening_bins,9,40-45 years
Age_in_years_at_screening_bins,10,45-50 years
Age_in_years_at_screening_bins,11,50-55 years
Age_in_years_at_screening_bins,12,55-60 years
Age_in_years_at_screening_bins,13,60-65 years
Age_in_years_at_screening_bins,14,65-70 years
Age_in_years_at_screening_bins,15,70-75 years
Age_in_years_at_screening_bins,16,75-80 years
Age_in_years_at_screening_bins,17,80 and older
HH_ref_person_age_in_years,1,<20 years
HH_ref_person_age_in_years,2,20-39 years
HH_ref_person_age_in_years,3,40-59 years
HH_ref_person_age_in_years,4,60+ years
